iteration,iteration-mean-cost,best-cost
757,13157.3,8748.8
758,12613.4,8748.8
759,13131.7,8748.8
760,13105.3,8748.8
761,13277.8,8748.8
762,12742.4,8748.8
763,13826.1,8748.8
764,13876.2,8748.8
765,13118.1,8748.8
766,13594.7,8748.8
767,13576.2,8748.8
768,13116.5,8748.8
769,13845.8,8748.8
770,13024.2,8748.8
771,12953.5,8748.8
772,12947.1,8748.8
773,12918.0,8748.8
774,12888.3,8748.8
775,12855.9,8748.8
776,13355.3,8748.8
777,13064.3,8748.8
778,13644.0,8748.8
779,12684.0,8748.8
780,13501.7,8748.8
781,12986.9,8748.8
782,13189.3,8748.8
783,13106.9,8748.8
784,12886.0,8748.8
785,12814.9,8748.8
786,13123.0,8748.8
787,13257.1,8748.8
788,13788.5,8748.8
789,13191.4,8748.8
790,13210.8,8748.8
791,13137.0,8748.8
792,13268.6,8748.8
793,14158.7,8748.8
794,13476.4,8748.8
795,13612.6,8748.8
796,13769.2,8748.8
797,12812.3,8748.8
798,12958.1,8748.8
799,13047.5,8748.8
800,13208.7,8748.8
801,13284.0,8748.8
802,13302.2,8748.8
803,13062.6,8748.8
804,13181.2,8748.8
805,12831.1,8748.8
806,13155.8,8748.8
807,12935.8,8748.8
808,13441.7,8748.8
809,12923.8,8748.8
810,12993.4,8748.8
811,13624.9,8748.8
812,13047.4,8748.8
813,13494.8,8748.8
814,13213.4,8748.8
815,13534.2,8748.8
816,13198.9,8748.8
817,13537.7,8748.8
818,12970.4,8748.8
819,13482.8,8748.8
820,13104.0,8748.8
821,12579.7,8748.8
822,12965.9,8748.8
823,13080.9,8748.8
824,12678.9,8748.8
825,13063.0,8748.8
826,13125.7,8748.8
827,13231.7,8748.8
828,13278.7,8748.8
829,13173.7,8748.8
830,13009.6,8748.8
831,13056.9,8748.8
832,13111.1,8748.8
833,13103.5,8748.8
834,13103.5,8748.8
835,12953.2,8748.8
836,13294.3,8748.8
837,13614.3,8748.8
838,13078.0,8748.8
839,13168.2,8748.8
840,13033.5,8748.8
841,13239.5,8748.8
842,13161.9,8748.8
843,13073.3,8748.8
844,13182.7,8748.8
845,13139.6,8748.8
846,12884.5,8748.8
847,13106.4,8748.8
848,13341.8,8748.8
849,12225.6,8748.8
850,12558.9,8748.8
851,12937.8,8748.8
852,13379.4,8748.8
853,13092.3,8748.8
854,13012.1,8748.8
855,13382.2,8748.8
856,13285.4,8748.8
857,12772.7,8748.8
858,13194.0,8748.8
859,13786.9,8748.8
860,13645.5,8748.8
861,13660.4,8748.8
862,12831.5,8748.8
863,12597.9,8748.8
864,13113.3,8748.8
865,13362.1,8748.8
866,13301.2,8748.8
867,13063.4,8748.8
868,13457.5,8748.8
869,12859.3,8748.8
870,13299.3,8748.8
871,13515.2,8748.8
872,13555.5,8748.8
873,13485.9,8748.8
874,13215.3,8748.8
875,13338.2,8748.8
876,13152.0,8748.8
877,13190.8,8748.8
878,13027.1,8748.8
879,13569.2,8748.8
880,13319.8,8748.8
881,13678.2,8748.8
882,13094.6,8748.8
883,13170.6,8748.8
884,13174.7,8748.8
885,13513.8,8748.8
886,13116.2,8748.8
887,13358.2,8748.8
888,12908.8,8748.8
889,13025.3,8748.8
890,12786.3,8748.8
891,13066.2,8748.8
892,13478.5,8748.8
893,12815.4,8748.8
894,13272.6,8748.8
895,13561.9,8748.8
896,13755.6,8748.8
897,13054.9,8748.8
898,13123.8,8748.8
899,13373.1,8748.8
900,12550.2,8748.8
901,13048.7,8748.8
902,12838.4,8748.8
903,12633.8,8748.8
904,13124.7,8748.8
905,12935.2,8748.8
906,12404.9,8748.8
907,12628.9,8748.8
908,12795.7,8748.8
909,12641.6,8748.8
910,13536.2,8748.8
911,13020.4,8748.8
912,13355.4,8748.8
913,13227.8,8748.8
914,13241.7,8748.8
915,13147.3,8748.8
916,12905.8,8748.8
917,13122.4,8748.8
918,13138.5,8748.8
919,13415.5,8748.8
920,13372.1,8748.8
921,12714.2,8748.8
922,12550.9,8748.8
923,13204.6,8748.8
924,13195.5,8748.8
925,12779.4,8748.8
926,13222.8,8748.8
927,12677.5,8748.8
928,12673.1,8748.8
929,12774.2,8748.8
930,13045.5,8748.8
931,13170.6,8748.8
932,12926.3,8748.8
933,12438.3,8748.8
934,13208.5,8748.8
935,12962.4,8748.8
936,13193.2,8748.8
937,12831.1,8748.8
938,12859.6,8748.8
939,12982.7,8748.8
940,12734.4,8748.8
941,12999.2,8748.8
942,13267.6,8748.8
943,13083.9,8748.8
944,12646.9,8748.8
945,13311.1,8748.8
946,13899.6,8748.8
947,13371.4,8748.8
948,13163.1,8748.8
949,13828.2,8748.8
950,13606.3,8748.8
951,13545.8,8748.8
952,13820.6,8748.8
953,13657.4,8748.8
954,13738.5,8748.8
955,13356.1,8748.8
956,13100.2,8748.8
957,13155.0,8748.8
958,12821.4,8748.8
959,12938.4,8748.8
960,13279.8,8748.8
961,12835.6,8748.8
962,13013.4,8748.8
963,13710.1,8748.8
964,12781.3,8748.8
965,13199.8,8748.8
966,13167.3,8748.8
967,13250.3,8748.8
968,13160.8,8748.8
969,13703.1,8748.8
970,13167.4,8748.8
971,13213.1,8748.8
972,13549.9,8748.8
973,13402.0,8748.8
974,13445.7,8748.8
975,13669.2,8748.8
976,13055.5,8748.8
977,13402.6,8748.8
978,12746.9,8748.8
979,12881.2,8748.8
980,12830.3,8748.8
981,12967.7,8748.8
982,13331.1,8748.8
983,13313.6,8748.8
984,12686.3,8748.8
985,13256.2,8748.8
986,13315.7,8748.8
987,13137.4,8748.8
988,13550.8,8748.8
989,13075.5,8748.8
990,13288.7,8748.8
991,13074.4,8748.8
992,12379.6,8748.8
993,13026.0,8748.8
994,12488.2,8748.8
995,12776.5,8748.8
996,13347.9,8748.8
997,13376.5,8748.8
998,13275.4,8748.8
999,12882.9,8748.8
1000,12867.8,8748.8
1001,13598.6,8748.8
1002,12999.3,8748.8
1003,12962.7,8748.8
1004,12583.9,8748.8
1005,12990.3,8748.8
1006,13008.7,8748.8
1007,12843.9,8748.8
1008,12804.3,8748.8
1009,13013.1,8748.8
1010,12925.5,8748.8
1011,12521.5,8748.8
1012,12399.8,8748.8
1013,12943.5,8748.8
1014,13311.8,8748.8
1015,13056.7,8748.8
1016,13278.8,8748.8
1017,13043.1,8748.8
1018,13190.7,8748.8
1019,12783.6,8748.8
1020,13037.5,8748.8
1021,13001.7,8748.8
1022,13058.6,8748.8
1023,13050.9,8748.8
1024,13058.1,8748.8
1025,12825.9,8748.8
1026,13018.6,8748.8
1027,12768.1,8748.8
1028,12666.4,8748.8
1029,12952.7,8748.8
1030,13275.9,8748.8
1031,12930.6,8748.8
1032,13854.5,8748.8
1033,13039.3,8748.8
1034,13279.3,8748.8
1035,13306.4,8748.8
1036,13322.2,8748.8
1037,13014.0,8748.8
1038,12972.1,8748.8
1039,13544.4,8748.8
1040,12786.1,8748.8
1041,12921.9,8748.8
1042,12978.8,8748.8
1043,13090.6,8748.8
1044,13120.8,8748.8
1045,13454.8,8748.8
1046,13049.9,8748.8
1047,12583.1,8748.8
1048,13348.8,8748.8
1049,13061.5,8748.8
1050,13098.2,8748.8
1051,13090.7,8748.8
1052,13205.6,8748.8
1053,13280.6,8748.8
1054,13371.0,8748.8
1055,13565.5,8748.8
1056,13853.3,8748.8
1057,13048.9,8748.8
1058,13300.6,8748.8
1059,13866.6,8748.8
1060,12960.9,8748.8
1061,13071.5,8748.8
1062,13249.1,8748.8
1063,13495.1,8748.8
1064,12652.9,8748.8
1065,12621.9,8748.8
1066,12879.5,8748.8
1067,13250.1,8748.8
1068,13573.0,8748.8
1069,13446.1,8748.8
1070,13072.4,8748.8
1071,13198.9,8748.8
